회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
코스텍시스템,169670,특수 목적용 기계 제조업,"반도체 웨이퍼 이송장비, 본딩장비",2022-01-21,12월,배준호,http://www.kosteks.com/,경기도
예스피치,403360,소프트웨어 개발 및 공급업,"AI 가상비서 서비스, 화자인증 서비스",2021-12-14,12월,김재중,http://www.yespeech.com,서울특별시
제이엠멀티,254160,제재 및 목재 가공업,목재 데크로드 시스템,2021-12-13,12월,박훈웅,http://www.jmmulti.com,충청남도
켈스,402420,의료용 기기 제조업,체외진단 의료기기,2021-11-30,12월,이동호,http://www.thecalth.com/,경기도
젬,248020,전구 및 조명장치 제조업,LED 조명장치,2021-10-22,12월,박춘하,http://www.zamled.com,충청북도
토마토시스템,393210,소프트웨어 개발 및 공급업,UI솔루션,2021-10-14,12월,이상돈,http://www.tomatosystem.co.kr/,서울특별시
타임기술,318660,소프트웨어 개발 및 공급업,"ILS(종합군수지원), IETM(전자식기술교범), CBT(전자식교보재), 기술번역",2021-06-24,12월,주양효,http://timett.co.kr,경상남도
이성씨엔아이,379390,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 계측제어 서비스(경상정비),2021-06-04,12월,박기선,http://www.iscni.co.kr/,부산광역시
나우코스,257990,기타 화학제품 제조업,"화장품, 동물용의약외품",2020-12-30,12월,노향선,http://www.nowcos.com/,세종특별자치시
베른,322190,자동차 차체 및 트레일러 제조업,캠핑카,2020-12-29,12월,김민성,http://acecamper.co.kr/,충청남도
루트락,253610,기타 전문 도매업,"인공슬관절, 척추 임플란트(의료기기 도·소매)",2020-12-24,12월,박종진,http://rootloc.com/,서울특별시
씨엔티드림,286000,기타 화학제품 제조업,화장품 제조 및 도소매,2020-12-11,12월,안태우,http://www.cntdream.com,충청남도
원포유,122830,전기 통신업,영상 및 음성 통신 서비스,2020-10-23,12월,전동호,http://www.one4u.co.kr,서울특별시
데이드림엔터,348840,"영화, 비디오물, 방송프로그램 제작 및 배급업",드라마 및 영화제작,2020-08-18,12월,송정우,http://www.daydream.kr,서울특별시
바이오인프라생명과학,266470,자연과학 및 공학 연구개발업,I-FINDER(바이오마커 진단),2020-07-22,12월,이덕윤,http://bioinfra.co.kr,서울특별시
무진메디,322970,자연과학 및 공학 연구개발업,나노-유전자 편집 기술 기반 대장암·탈모 등 치료제,2020-06-24,12월,윤태종,http://www.moogene.com/,경기도
오션스톤,329020,음·식료품 및 담배 도매업,"간고등어 제품, 냉동수산물 유통",2020-05-07,12월,이정훈,,부산광역시
이노진,344860,기타 화학제품 제조업,탈모케어제품(볼빅 등) 및 피부케어제품(Dr.메디션 등),2020-04-27,12월,이광훈,http://www.innogene.com,서울특별시
단디바이오,343090,의료용품 및 기타 의약 관련제품 제조업,"패혈증 치료제, 면역항암제 전달기술 등",2020-04-24,12월,"박영민, 김종원(각자대표)",http:// www.dandibio.com,서울특별시
이앤에치,341310,기타 섬유제품 제조업,"미세먼지용 HEPA 소재, 차량용 캐빈필터소재, 마스크용 소재",2019-12-27,12월,"김정운, 유병덕(공동 대표이사)",http://www.i-enh.com,경기도
엔에스엠,238170,합성고무 및 플라스틱 물질 제조업,전도성 고분자 코팅 대전방지 필름,2019-12-26,12월,김상엽,http://www.nsmcc.com,경기도
