current_price,volume,trade_price,date,start_price,high_price,low_price
704.679993,28000,,19961211,705.98999,709.47998,704.429993
689.380005,25900,,19961212,705.109985,706.01001,688.73999
689.070007,26500,,19961213,690.440002,695.719971,677.640015
673.919983,22800,,19961216,686.969971,686.969971,667.710022
663.349976,31600,,19961217,675.349976,680.090027,660.390015
661.390015,31500,,19961218,662.070007,671.429993,655.469971
690.969971,30400,,19961219,668.130005,690.969971,668.130005
700.869995,30000,,19961220,695.330017,703.51001,692.469971
684.809998,21500,,19961223,691.97998,697.119995,684.809998
677.76001,23800,,19961224,683.109985,687.059998,677.559998
659.01001,25500,,19961226,676.210022,676.210022,655.23999
651.219971,35100,,19961227,654.820007,657.039978,643.570007
653.789978,13900,,19970103,647.669983,655.700012,635.409973
626.869995,17600,,19970106,637.97998,637.97998,625.01001
611.049988,24100,,19970107,622.450012,627.609985,609.119995
621.409973,34200,,19970108,608.530029,623.390015,600.559998
639.869995,36100,,19970109,619.099976,640.809998,612.409973
648.690002,36500,,19970110,637.98999,653.590027,636.809998
659.539978,28700,,19970113,659.809998,664.950012,655.73999
686.590027,36600,,19970114,656.669983,687.659973,656.669983
699.76001,42000,,19970115,690.179993,699.76001,686.02002
711.859985,47300,,19970116,701.640015,711.960022,694.390015
701.179993,48200,,19970117,713.070007,720.409973,695.77002
718.460022,43000,,19970120,697.559998,720.690002,697.559998
690.539978,44300,,19970121,721.039978,721.789978,690.539978
678.940002,36700,,19970122,686.710022,686.890015,671.909973
676.909973,31000,,19970123,679.340027,685.140015,672.72998
679.559998,35500,,19970124,669.030029,679.559998,658.179993
664.700012,28300,,19970127,684.309998,685.460022,664.679993
662.849976,30400,,19970128,661.659973,677.630005,653.419983
663.559998,30200,,19970129,663.330017,672.900024,654.950012
676.52002,28800,,19970130,663.650024,679.039978,662.27002
685.840027,32000,,19970131,678.190002,687.98999,678.169983
687.25,27300,,19970203,682.26001,696.210022,681.01001
695.950012,33100,,19970204,687.840027,696.23999,687.840027
